budget,popularity,revenue,runtime,tagline,title,vote_average,vote_count
165000000,44.041186,752600867,93,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959
190000000,130.311355,209154322,130,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
165000000,203.73459,652105443,102,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
165000000,62.341073,471222889,108,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
165000000,47.323228,305875730,100,This holiday season... believe.,The Polar Express,6.4,1474
165000000,48.775723,389681935,120,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
165000000,67.263269,494878759,98,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
200000000,69.405188,435000000,109,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143
170000000,481.098624,773328629,121,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
165000000,724.247784,675120017,169,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,167.58371,825532764,148,Your mind is the scene of the crime.,Inception,8.1,13752
15000000,9.476999,77000000,120,A god incarnate. A city doomed.,Shin Godzilla,6.5,143
250000000,108.849621,1021103568,169,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8297
38000000,6.909942,207283925,106,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428
150000000,60.269279,333932083,166,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292
160000000,3.195174,353624124,132,Witness the moment that will change our world.,X-Men: First Class,7.1,5181
160000000,127.284427,653428261,137,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,35.580815,215283742,109,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470
160000000,21.133748,181674817,99,Mayday,Poseidon,5.5,583
170000000,56.268916,299370084,113,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725
160000000,42.986467,798958165,93,Who's ready for Thirds?,Shrek the Third,6,2278
160000000,63.148529,433677183,123,Two worlds. One home.,Warcraft,6.3,2268
155000000,202.042635,440603537,126,Reset the future,Terminator Genisys,5.8,3631
155000000,49.661984,415686217,113,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,34.20669,449220945,183,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791
150000000,25.468493,709709780,144,Their war. Our world.,Transformers,6.6,4040
155000000,39.019229,167298192,175,The greatest legend of all was real.,Alexander,5.6,927
150000000,78.144395,938212738,138,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,101.250416,895921036,157,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
150000000,56.758411,624029371,92,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961
150000000,70.867401,585349010,101,The last man on Earth is not alone,I Am Legend,6.9,4853
150000000,53.905592,474968763,115,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
150000000,65.677399,623722818,111,He's dying to become a chef.,Ratatouille,7.5,4369
150000000,115.040024,374218673,140,Evil fears the knight.,Batman Begins,7.5,7359
150000000,44.141021,603900354,89,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810
150000000,81.781591,413106170,105,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,5.954334,373062864,107,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
150000000,73.313918,424988211,129,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096
150000000,165.125366,1274219009,102,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295
150000000,70.78591,738599701,138,Free your mind.,The Matrix Reloaded,6.7,3443
170000000,99.499595,644571402,112,Delve into the darkness,Thor: The Dark World,6.8,4755
150000000,434.278564,378858340,120,What a Lovely Day.,Mad Max: Fury Road,7.2,9427
150000000,67.447636,356613439,138,,Angels & Demons,6.5,2129
150000000,86.493424,449326618,115,Two worlds. One hero.,Thor,6.6,6525
150000000,41.845878,309979994,98,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
150000000,26.710398,292817841,88,The world needs bigger heroes,G-Force,5.1,510
150000000,44.927635,301000000,99,Feel the Wrath,Wrath of the Titans,5.5,1431
150000000,50.306728,245527149,113,Every Family Has Its Demons,Dark Shadows,5.7,2320
150000000,114.522237,682330139,131,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224
150000000,21.214571,0,102,When the moon is full the legend comes to life,The Wolfman,5.5,549
150000000,29.332905,287594577,91,Born to bee wild.,Bee Movie,5.7,1171
150000000,51.247321,665692281,91,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880
150000000,33.769336,318502923,103,"Four nations, one destiny",The Last Airbender,4.7,1151
150000000,63.079003,397850012,126,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028
150000000,39.004588,205366737,131,It will start like any other day.,White House Down,6.4,1891
150000000,12.362599,38992758,88,Mom needs a little space.,Mars Needs Moms,5.5,199
149000000,22.550135,64459316,85,Someone's Going Down,Flushed Away,6,874
150000000,48.03528,128388320,111,Every legend has a beginning.,Pan,5.9,954
145000000,38.73494,272912430,92,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843
175000000,66.803149,497409852,163,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759
145000000,44.989192,746921274,93,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,54.159392,431971116,133,He’s never been cooler.,Die Another Day,5.8,1092
144000000,66.21806,229147509,116,Who You Gonna Call?,Ghostbusters,5.3,2142
140000000,58.485967,553799566,151,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482
140000000,91.332849,441818803,88,Same Planet. New Scum.,Men in Black II,6,3114
70000000,35.601665,195735876,115,Evil breeds pain.,Beowulf,5.5,841
145000000,56.747978,521170825,95,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603
145000000,77.77477,694713380,133,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,61.788035,306941670,97,You better believe.,Rise of the Guardians,7.1,1922
100000000,25.159168,202026112,90,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627
140000000,52.341226,456758981,154,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895
140000000,101.599427,268031828,150,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921
150000000,73.616808,385680446,127,The future begins.,Star Trek,7.4,4518
139000000,82.502566,821708551,121,With great power comes great responsibility.,Spider-Man,6.8,5265
145000000,100.21391,609123048,102,The training is over.,How to Train Your Dragon 2,7.6,3106
140000000,56.257249,150680864,127,The battle for eternity begins,Gods of Egypt,5.3,1277
135000000,17.88953,76932943,121,Fear The Sky,Stealth,4.9,331
130000000,64.798873,185258983,163,Justice is coming to all of us.  No matter what we do.,Watchmen,7,2811
140000000,24.855701,285444603,127,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
137000000,34.981698,245360480,138,Unleash the hero within,Hulk,5.3,1533
130000000,59.325589,371876278,110,,G.I. Joe: Retaliation,5.4,3025
130000000,21.605568,119269486,124,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434
137000000,26.074908,85131830,106,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433
140000000,74.506246,370569774,124,When patriots become heroes,Captain America: The First Avenger,6.6,7047
135000000,39.604363,361832400,128,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6,862
150000000,36.973031,212011111,138,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790
120000000,99.687084,829000000,115,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,17.7735,150406466,100,Every step counts.,Happy Feet Two,5.8,373
150000000,62.898336,163712074,114,You'll like him when he's angry.,The Incredible Hulk,6.1,3021
140000000,44.19092,183345589,120,The world is more giant than you can imagine.,The BFG,6,1000
135000000,100.635882,532950503,156,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
135000000,44.765377,282570682,96,SLO NO MO,Turbo,6.1,1074
135000000,29.91353,245724603,107,Heroes come in all different colors.,Rango,6.6,2051
132000000,84.366984,373552094,92,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
70000000,45.381501,442824138,115,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888
130000000,84.689648,631744560,90,Prepare for awesomeness.,Kung Fu Panda,6.9,3145
130000000,120.09361,519311965,117,Heroes don't get any bigger.,Ant-Man,7,5880
130000000,76.310119,847423452,146,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
135000000,63.473086,368871007,94,Worlds Collide,Home,6.8,1519
132000000,48.572726,591739379,116,They're already here.,War of the Worlds,6.2,2322
130000000,38.068736,273339556,147,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564
130000000,20.678787,554987477,90,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
110000000,48.829437,293329073,100,Who is Salt?,Salt,6.2,2093
125000000,46.115758,362637473,139,The end of the world is just the beginning.,Noah,5.6,2350
130000000,89.938296,371940071,107,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061
130000000,79.679601,789804554,141,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,28.840997,49554002,165,Welcome to Australia!,Australia,6.3,694
130000000,42.840582,243843127,100,"Danger is real, fear is a choice",After Earth,5,2532
127500000,26.548594,354248063,82,You have never seen anything like this.,Dinosaur,6.2,542
127000000,115.597753,349424282,97,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,68.757242,321887208,95,His brain is off the chain.,Megamind,6.7,1918
125000000,109.984351,976475550,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,39.448066,61648500,96,To protect and serve the living,R.I.P.D.,5.4,1260
140000000,271.972889,655011224,143,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
125000000,206.227151,752100229,123,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
125000000,45.313197,767820459,149,Seek the truth.,The Da Vinci Code,6.5,2704
103000000,42.40024,500188435,102,"He's villainous, she's venomous.",Rio 2,6.3,978
110000000,2.871739,407711549,133,The time has come for those who are different to stand united.,X2,6.8,3506
125000000,7.255718,626137675,130,Get the Fifth Gear.,Fast Five,7.1,2438
125000000,81.499621,334615000,129,The game is afoot.,Sherlock Holmes: A Game of Shadows,7,3886
125000000,47.686442,232713139,106,Titans will clash.,Clash of the Titans,5.6,2233
65000000,43.129703,261317921,113,"They stole his mind, now he wants it back.",Total Recall,7.1,1710
160000000,27.220157,61698899,102,Prey for the living.,The 13th Warrior,6.4,510
130000000,90.33681,276572938,120,There Was Never Just One,The Bourne Legacy,6,2651
125000000,50.073575,238207122,125,Strength. Courage. Honor. And loyalty.,Batman & Robin,4.2,1418
123000000,45.419668,345141403,104,He puts the mean in green.,How the Grinch Stole Christmas,6.2,1386
125000000,41.380094,544272402,124,Where will you be?,The Day After Tomorrow,6.2,2392
125000000,54.931334,546388105,123,Expect the impossible again.,Mission: Impossible II,5.9,1928
120000000,25.752118,325756637,130,The storm is coming.,The Perfect Storm,6.2,597
130000000,60.810723,289047763,92,Discover the secret of the Surfer.,Fantastic 4: Rise of the Silver Surfer,5.4,2589
120000000,51.328145,609016565,127,Believe The Unbelievable,Life of Pi,7.2,5797
110000000,46.834704,228738393,114,Hell Is About To Be Unleashed,Ghost Rider,5.2,1712
120000000,62.641286,415484914,123,You know his name,Jason Bourne,5.9,2341
120000000,33.616115,259175788,106,This summer the Angels are back.,Charlie's Angels: Full Throttle,5.2,914
130000000,68.889395,403170142,124,The Search for Our Beginning Could Lead to Our End.,Prometheus,6.3,5080
120000000,27.990284,169956806,78,A Little Goes A Long Way,Stuart Little 2,5.4,613
115000000,67.33767,286140700,109,He can save us all.,Elysium,6.4,3439
105000000,27.835436,115772733,119,All the power in the universe can't change destiny,The Chronicles of Riddick,6.3,1570
120000000,66.757869,242688965,102,We've got the future under control.,RoboCop,5.7,2342
120000000,17.060695,93945766,135,Go!,Speed Racer,5.7,354
120000000,11.137655,48668907,121,How do you know it's love?,How Do You Know,4.9,223
117000000,44.906918,261930431,109,Every Hit Man Deserves a Second Shot!,Knight and Day,5.9,1547
120000000,67.698004,286168572,124,Earth is a memory worth fighting for,Oblivion,6.4,4800
113000000,44.108427,850000000,140,The saga is complete.,Star Wars: Episode III - Revenge of the Sith,7.1,4116
120000000,43.987061,649398328,142,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,Star Wars: Episode II - Attack of the Clones,6.4,3992
115000000,106.815545,562816256,92,We Scare Because We Care.,"Monsters, Inc.",7.5,5996
120000000,15.953444,415440673,126,"When he's most vulnerable, he's most dangerous.",The Wolverine,6.3,4053
115000000,54.035265,924317558,136,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,Star Wars: Episode I - The Phantom Menace,6.3,4432
135000000,64.183321,585178928,98,Meet the first modern family.,The Croods,6.8,2399
97250400,20.344364,132900000,116,,Asterix at the Olympic Games,5,471
115000000,18.714197,77628265,134,Honor Was Their Code.,Windtalkers,5.8,341
115000000,60.467984,164602163,114,The story before Snow White,The Huntsman: Winter's War,6,1523
125000000,143.350376,477200000,101,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,Teenage Mutant Ninja Turtles,5.8,2636
105000000,110.153618,716392705,91,Don't Let Go,Gravity,7.3,5751
116000000,16.90444,178127760,108,The pressure is building...,Dante's Peak,5.7,428
135000000,39.873791,245623848,112,Raise some shell.,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
120000000,38.126095,167977596,100,Change is coming.,Fantastic Four,4.4,2278
110000000,48.780039,574480841,108,Where History Comes To Life,Night at the Museum,6.3,2862
110000000,100.412364,470490832,114,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,6,2968
110000000,42.887121,333011068,119,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,Tomorrow Never Dies,6,925
110000000,23.657284,215294342,165,Some things are worth fighting for.,The Patriot,6.8,1099
110000000,76.840712,362744280,125,Twelve is the new eleven.,Ocean's Twelve,6.4,2124
110000000,44.635452,478207520,120,Smart and sexy.,Mr. & Mrs. Smith,6.5,2965
110000000,103.718387,295238201,119,One Choice Can Destroy You,Insurgent,6.2,3829
116000000,45.616098,102000000,170,"For some men, the sky was the limit. For him, it was just the beginning.",The Aviator,7,1489
112000000,22.845143,237382724,85,Something big is going down.,Gulliver's Travels,4.9,621
120000000,31.703608,227817248,119,Breaking the Law to Protect It.,The Green Hornet,5.5,1251
110000000,71.510596,337580051,102,Seize your glory!,300: Rise of an Empire,6.1,2397
110000000,36.65422,563749323,103,Smurf Happens.,The Smurfs,5.5,1179
110000000,19.625972,103951461,76,Bust a Moo,Home on the Range,5.7,389
110000000,86.105615,179246868,121,Break the boundaries of your world,Allegiant,5.9,1998
110000000,37.195046,299268508,127,"If you get one shot, make it real.",Real Steel,6.6,2692
105000000,32.473628,347434178,105,Get ready to get naughty!,The Smurfs 2,5.5,695
160000000,23.336875,164508066,121,"As the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,4.1,434
110000000,45.94834,125537191,114,This is not a game.,Ender's Game,6.6,2303
110000000,48.93337,383531464,128,The old school cop is back!,Live Free or Die Hard,6.4,2089
93000000,138.049577,871368364,178,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8,8705
110000000,22.643776,72178895,120,Let your imagination soar.,Around the World in 80 Days,5.7,672
107000000,18.866672,87713825,157,Float like a butterfly and sting like a bee.,Ali,6.7,447
0,18.251129,0,82,Don't mess with the hat.,The Cat in the Hat,4.9,366
120000000,95.914473,347234916,115,Laws are made to be broken.,"I, Robot",6.7,3793
130000000,44.490453,211643158,144,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",Kingdom of Heaven,6.6,1157
133000000,30.475297,300135367,84,The Little Family Just Got Bigger,Stuart Little,5.8,959
105000000,62.479574,267045765,97,Every Love Story Begins With a Kiss...,The Princess and the Frog,6.7,1247
108000000,167.93287,630161890,141,Bring Him Home,The Martian,7.6,7268
126000000,37.68056,162949164,136,Your time will come...,The Island,6.5,1770
90000000,1.004579,10372291,104,There's no such thing as a small affair.,Town & Country,3.7,16
90000000,52.995628,237202299,118,"Ice Cold, Hot Wired.",Gone in Sixty Seconds,6.1,1485
103000000,95.301296,457640427,155,A Hero Will Rise.,Gladiator,7.9,5439
102000000,65.948959,358372926,145,The system is perfect until it comes after you.,Minority Report,7.1,2608
100000000,132.397737,876688482,161,Hogwarts is back in session.,Harry Potter and the Chamber of Secrets,7.4,5815
150000000,88.935165,599045960,144,Everyone has a past. Every legend has a beginning.,Casino Royale,7.3,3855
100000000,51.188633,362211740,119,You'll be sorry you were ever born human,Planet of the Apes,5.6,1243
100000000,101.74155,520000000,137,It's nothing personal.,Terminator 2: Judgment Day,7.7,4185
80000000,33.691694,214104620,140,America's Most Wanted.,Public Enemies,6.5,1344
100000000,42.361215,266465037,157,There are two sides to the American dream,American Gangster,7.4,1502
115000000,38.729418,378882411,141,"When he said I do, he never said what he did.",True Lies,6.8,1116
100000000,40.597856,150166126,106,I can't get it out of my head. I'm gonna die today.,The Taking of Pelham 1 2 3,6.2,954
100000000,32.389353,310650585,98,"Kids bring everyone closer, right?",Little Fockers,5.4,1060
100000000,24.399642,170432927,107,When the cops are busy... Our only hope is...,The Other Guys,6.1,1383
100000000,24.507987,242295562,115,He will erase your past to protect your future.,Eraser,5.6,543
100000000,82.121691,425368238,165,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099
100000000,46.727941,100138851,91,,The Hunchback of Notre Dame,6.8,1129
100000000,51.113717,169327687,78,It's All About.....ME!,The Emperor's New Groove,7.2,1490
100000000,53.732892,312573423,103,Back for War.,The Expendables 2,6.1,2896
100000000,58.849256,347451894,131,The greatest adventure history has ever revealed.,National Treasure,6.4,1926
100000000,30.863434,249288105,104,"As darkness falls, the last dragon will choose its rider.",Eragon,4.9,967
100000000,31.586215,100086793,101,There's one in all of us.,Where the Wild Things Are,6.4,572
100000000,36.711378,268426634,102,Discover a world beyond your imagination,Epic,6.4,1121
100000000,41.426678,278731369,103,It all started when he met a woman,The Tourist,6,1699
100000000,20.652943,211989043,121,Prepare for the end.,End of Days,5.5,482
100000000,52.792678,170877916,143,It will cost you everything.,Blood Diamond,7.3,2281
100000000,95.007934,392000694,180,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
100000000,48.205606,336529144,121,"Courage now, truth always...",Batman Forever,5.2,1498
105000000,58.782359,121214377,129,The only good bug is a dead bug.,Starship Troopers,6.7,1560
102000000,73.872343,130482868,172,Everything is Connected,Cloud Atlas,6.6,2977
80000000,37.321848,140073390,97,On his way to finding a legend...he will become one.,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703
100000000,32.271938,82102379,104,CATch her in IMAX,Catwoman,4.2,808
100000000,76.842247,243400000,99,"Before he was a legend, he was a man.",Hercules,5.6,1680
140000000,38.924136,109578115,95,Find your place in the universe.,Treasure Planet,7.2,948
100000000,19.38841,68688831,102,Right place. Wrong time.,Land of the Lost,5.3,381
90000000,61.025639,206172544,127,New team. New attitude. New mission.,The Expendables 3,6.1,1795
105000000,33.507289,133718711,114,The only law that matters is gravity,Point Break,5.5,783
84000000,17.815595,0,94,Who's next?,Son of the Mask,3.6,338
100000000,50.767332,93820758,122,Based on the incredible true story that inspired Moby Dick,In the Heart of the Sea,6.5,1276
100000000,12.092241,7103973,95,Action's future has arrived...,The Adventures of Pluto Nash,4.4,142
100000000,30.254021,94882889,115,Chief Warrant Officer Roy Miller is done following orders,Green Zone,6.4,717
99000000,34.308098,246233113,88,The story of an underdog. And his dog.,The Peanuts Movie,6.5,604
10000000,3.091077,13835130,110,It's the oldest con in the book.,The Spanish Prisoner,7.1,73
